Year,Geography,Gender,Age,Value
2015,Ontario,Total (all genders),25 to 54 years,33.1
2015,Ontario,Total (all genders),55 to 64 years,37.8
2015,Ontario,Total (all genders),65 years and over,16.0
2020,Ontario,Men+,Total (all ages),8.5
2020,Ontario,Men+,0 to 17 years,8.7
2020,Ontario,Men+,18 to 24 years,14.0
2020,Ontario,Men+,25 to 54 years,8.5
2020,Ontario,Men+,55 to 64 years,9.3
2020,Ontario,Men+,65 years and over,4.5
2015,Ontario,Men+,Total (all ages),15.3
2015,Ontario,Men+,0 to 17 years,20.0
2015,Ontario,Men+,18 to 24 years,21.0
2015,Ontario,Men+,25 to 54 years,15.0
2015,Ontario,Men+,55 to 64 years,13.9
2015,Ontario,Men+,65 years and over,7.2
2020,Ontario,Men+,Total (all ages),26.9
2020,Ontario,Men+,0 to 17 years,97.1
2020,Ontario,Men+,18 to 24 years,59.9
2020,Ontario,Men+,25 to 54 years,24.6
2020,Ontario,Men+,55 to 64 years,32.0
2020,Ontario,Men+,65 years and over,11.9
2015,Ontario,Men+,Total (all ages),35.3
2015,Ontario,Men+,0 to 17 years,99.2
2015,Ontario,Men+,18 to 24 years,71.6
2015,Ontario,Men+,25 to 54 years,33.0
2015,Ontario,Men+,55 to 64 years,39.7
2015,Ontario,Men+,65 years and over,17.7
2020,Ontario,Women+,Total (all ages),8.1
2020,Ontario,Women+,0 to 17 years,8.7
2020,Ontario,Women+,18 to 24 years,13.4
2020,Ontario,Women+,25 to 54 years,8.0
2020,Ontario,Women+,55 to 64 years,8.5
2020,Ontario,Women+,65 years and over,5.0
2015,Ontario,Women+,Total (all ages),15.8
2015,Ontario,Women+,0 to 17 years,20.0
2015,Ontario,Women+,18 to 24 years,22.4
2015,Ontario,Women+,25 to 54 years,16.3
2015,Ontario,Women+,55 to 64 years,13.5
2015,Ontario,Women+,65 years and over,8.2
2020,Ontario,Women+,Total (all ages),21.1
2020,Ontario,Women+,0 to 17 years,96.3
2020,Ontario,Women+,18 to 24 years,59.3
2020,Ontario,Women+,25 to 54 years,21.7
2020,Ontario,Women+,55 to 64 years,27.7
2020,Ontario,Women+,65 years and over,9.8
2015,Ontario,Women+,Total (all ages),30.5
2015,Ontario,Women+,0 to 17 years,99.7
2015,Ontario,Women+,18 to 24 years,77.4
2015,Ontario,Women+,25 to 54 years,33.2
2015,Ontario,Women+,55 to 64 years,36.1
2015,Ontario,Women+,65 years and over,15.2
2020,Asphodel-Norwood,Total (all genders),Total (all ages),5.7
2020,Asphodel-Norwood,Total (all genders),0 to 17 years,5.2
2020,Asphodel-Norwood,Total (all genders),18 to 24 years,10.2
2020,Asphodel-Norwood,Total (all genders),25 to 54 years,5.6
2020,Asphodel-Norwood,Total (all genders),55 to 64 years,8.1
2020,Asphodel-Norwood,Total (all genders),65 years and over,3.4
2015,Asphodel-Norwood,Total (all genders),Total (all ages),11.7
2015,Asphodel-Norwood,Total (all genders),0 to 17 years,14.4
2015,Asphodel-Norwood,Total (all genders),18 to 24 years,17.5
2015,Asphodel-Norwood,Total (all genders),25 to 54 years,11.3
2015,Asphodel-Norwood,Total (all genders),55 to 64 years,15.9
2015,Asphodel-Norwood,Total (all genders),65 years and over,3.4
2020,Asphodel-Norwood,Total (all genders),Total (all ages),19.4
2020,Asphodel-Norwood,Total (all genders),0 to 17 years,0.0
2020,Asphodel-Norwood,Total (all genders),18 to 24 years,0.0
2020,Asphodel-Norwood,Total (all genders),25 to 54 years,18.5
2020,Asphodel-Norwood,Total (all genders),55 to 64 years,25.0
2020,Asphodel-Norwood,Total (all genders),65 years and over,12.2
2015,Asphodel-Norwood,Total (all genders),Total (all ages),20.7
2015,Asphodel-Norwood,Total (all genders),0 to 17 years,0.0
2015,Asphodel-Norwood,Total (all genders),18 to 24 years,0.0
2015,Asphodel-Norwood,Total (all genders),25 to 54 years,22.2
2015,Asphodel-Norwood,Total (all genders),55 to 64 years,30.0
2015,Asphodel-Norwood,Total (all genders),65 years and over,11.1
2020,Asphodel-Norwood,Men+,Total (all ages),5.5
2020,Asphodel-Norwood,Men+,0 to 17 years,6.3
2020,Asphodel-Norwood,Men+,18 to 24 years,9.4
2020,Asphodel-Norwood,Men+,25 to 54 years,5.1
2020,Asphodel-Norwood,Men+,55 to 64 years,9.9
2020,Asphodel-Norwood,Men+,65 years and over,0.0
2015,Asphodel-Norwood,Men+,Total (all ages),11.2
2015,Asphodel-Norwood,Men+,0 to 17 years,10.6
2015,Asphodel-Norwood,Men+,18 to 24 years,17.4
2015,Asphodel-Norwood,Men+,25 to 54 years,9.0
2015,Asphodel-Norwood,Men+,55 to 64 years,19.2
2015,Asphodel-Norwood,Men+,65 years and over,7.2
2020,Asphodel-Norwood,Men+,Total (all ages),20.8
2020,Asphodel-Norwood,Men+,0 to 17 years,0.0
2020,Asphodel-Norwood,Men+,18 to 24 years,0.0
2020,Asphodel-Norwood,Men+,25 to 54 years,23.5
2020,Asphodel-Norwood,Men+,55 to 64 years,27.3
2020,Asphodel-Norwood,Men+,65 years and over,0.0
2015,Asphodel-Norwood,Men+,Total (all ages),23.3
2015,Asphodel-Norwood,Men+,0 to 17 years,0.0
2015,Asphodel-Norwood,Men+,18 to 24 years,0.0
2015,Asphodel-Norwood,Men+,25 to 54 years,0.0
2015,Asphodel-Norwood,Men+,55 to 64 years,37.5
2015,Asphodel-Norwood,Men+,65 years and over,28.6
2020,Asphodel-Norwood,Women+,Total (all ages),6.0
2020,Asphodel-Norwood,Women+,0 to 17 years,3.9
2020,Asphodel-Norwood,Women+,18 to 24 years,11.1
2020,Asphodel-Norwood,Women+,25 to 54 years,6.0
2020,Asphodel-Norwood,Women+,55 to 64 years,6.6
2020,Asphodel-Norwood,Women+,65 years and over,4.7
2015,Asphodel-Norwood,Women+,Total (all ages),12.2
2015,Asphodel-Norwood,Women+,0 to 17 years,18.7
2015,Asphodel-Norwood,Women+,18 to 24 years,17.6
2015,Asphodel-Norwood,Women+,25 to 54 years,14.2
2015,Asphodel-Norwood,Women+,55 to 64 years,13.6
2015,Asphodel-Norwood,Women+,65 years and over,0.0
2020,Asphodel-Norwood,Women+,Total (all ages),17.6
2020,Asphodel-Norwood,Women+,0 to 17 years,0.0
2020,Asphodel-Norwood,Women+,18 to 24 years,0.0
2020,Asphodel-Norwood,Women+,25 to 54 years,0.0
2020,Asphodel-Norwood,Women+,55 to 64 years,33.3
2020,Asphodel-Norwood,Women+,65 years and over,11.1
2015,Asphodel-Norwood,Women+,Total (all ages),18.2
2015,Asphodel-Norwood,Women+,0 to 17 years,0.0
2015,Asphodel-Norwood,Women+,18 to 24 years,0.0
2015,Asphodel-Norwood,Women+,25 to 54 years,44.4
2015,Asphodel-Norwood,Women+,55 to 64 years,0.0
2015,Asphodel-Norwood,Women+,65 years and over,0.0
2020,Otonabee-South Monaghan,Total (all genders),Total (all ages),5.1
2020,Otonabee-South Monaghan,Total (all genders),0 to 17 years,7.4
2020,Otonabee-South Monaghan,Total (all genders),18 to 24 years,4.8
2020,Otonabee-South Monaghan,Total (all genders),25 to 54 years,6.1
2020,Otonabee-South Monaghan,Total (all genders),55 to 64 years,4.5
2020,Otonabee-South Monaghan,Total (all genders),65 years and over,2.1
2015,Otonabee-South Monaghan,Total (all genders),Total (all ages),8.1
2015,Otonabee-South Monaghan,Total (all genders),0 to 17 years,11.3
2015,Otonabee-South Monaghan,Total (all genders),18 to 24 years,0.0
2015,Otonabee-South Monaghan,Total (all genders),25 to 54 years,9.3
2015,Otonabee-South Monaghan,Total (all genders),55 to 64 years,10.8
2015,Otonabee-South Monaghan,Total (all genders),65 years and over,3.6
2020,Otonabee-South Monaghan,Total (all genders),Total (all ages),11.3
2020,Otonabee-South Monaghan,Total (all genders),0 to 17 years,0.0
2020,Otonabee-South Monaghan,Total (all genders),18 to 24 years,0.0
2020,Otonabee-South Monaghan,Total (all genders),25 to 54 years,19.0
2020,Otonabee-South Monaghan,Total (all genders),55 to 64 years,11.4
2020,Otonabee-South Monaghan,Total (all genders),65 years and over,0.0
2015,Otonabee-South Monaghan,Total (all genders),Total (all ages),21.7
2015,Otonabee-South Monaghan,Total (all genders),0 to 17 years,0.0
2015,Otonabee-South Monaghan,Total (all genders),18 to 24 years,0.0
2015,Otonabee-South Monaghan,Total (all genders),25 to 54 years,35.6
2015,Otonabee-South Monaghan,Total (all genders),55 to 64 years,29.4
2015,Otonabee-South Monaghan,Total (all genders),65 years and over,0.0
2020,Otonabee-South Monaghan,Men+,Total (all ages),5.2
2020,Otonabee-South Monaghan,Men+,0 to 17 years,7.0
2020,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Men+,25 to 54 years,6.5
2020,Otonabee-South Monaghan,Men+,55 to 64 years,5.3
2020,Otonabee-South Monaghan,Men+,65 years and over,2.4
2015,Otonabee-South Monaghan,Men+,Total (all ages),8.7
2015,Otonabee-South Monaghan,Men+,0 to 17 years,11.0
2015,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Men+,25 to 54 years,10.3
2015,Otonabee-South Monaghan,Men+,55 to 64 years,11.2
2015,Otonabee-South Monaghan,Men+,65 years and over,2.9
2020,Otonabee-South Monaghan,Men+,Total (all ages),14.9
2020,Otonabee-South Monaghan,Men+,0 to 17 years,0.0
2020,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Men+,25 to 54 years,22.2
2020,Otonabee-South Monaghan,Men+,55 to 64 years,0.0
2020,Otonabee-South Monaghan,Men+,65 years and over,0.0
2015,Otonabee-South Monaghan,Men+,Total (all ages),25.3
2015,Otonabee-South Monaghan,Men+,0 to 17 years,0.0
2015,Otonabee-South Monaghan,Men+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Men+,25 to 54 years,35.3
2015,Otonabee-South Monaghan,Men+,55 to 64 years,23.8
2015,Otonabee-South Monaghan,Men+,65 years and over,0.0
2020,Otonabee-South Monaghan,Women+,Total (all ages),4.9
2020,Otonabee-South Monaghan,Women+,0 to 17 years,8.6
2020,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Women+,25 to 54 years,5.8
2020,Otonabee-South Monaghan,Women+,55 to 64 years,3.7
2020,Otonabee-South Monaghan,Women+,65 years and over,0.0
2015,Otonabee-South Monaghan,Women+,Total (all ages),7.7
2015,Otonabee-South Monaghan,Women+,0 to 17 years,10.6
2015,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Women+,25 to 54 years,8.3
2015,Otonabee-South Monaghan,Women+,55 to 64 years,10.3
2015,Otonabee-South Monaghan,Women+,65 years and over,4.3
2020,Otonabee-South Monaghan,Women+,Total (all ages),6.8
2020,Otonabee-South Monaghan,Women+,0 to 17 years,0.0
2020,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2020,Otonabee-South Monaghan,Women+,25 to 54 years,0.0
2020,Otonabee-South Monaghan,Women+,55 to 64 years,0.0
2020,Otonabee-South Monaghan,Women+,65 years and over,0.0
2015,Otonabee-South Monaghan,Women+,Total (all ages),16.7
2015,Otonabee-South Monaghan,Women+,0 to 17 years,0.0
2015,Otonabee-South Monaghan,Women+,18 to 24 years,0.0
2015,Otonabee-South Monaghan,Women+,25 to 54 years,33.3
2015,Otonabee-South Monaghan,Women+,55 to 64 years,30.8
2015,Otonabee-South Monaghan,Women+,65 years and over,0.0
2020,Hiawatha First Nation,Total (all genders),Total (all ages),0.0
2020,Hiawatha First Nation,Total (all genders),0 to 17 years,0.0
2020,Hiawatha First Nation,Total (all genders),18 to 24 years,0.0
2020,Hiawatha First Nation,Total (all genders),25 to 54 years,0.0
2020,Hiawatha First Nation,Total (all genders),55 to 64 years,0.0
2020,Hiawatha First Nation,Total (all genders),65 years and over,0.0
2015,Hiawatha First Nation,Total (all genders),Total (all ages),0.0
2015,Hiawatha First Nation,Total (all genders),0 to 17 years,0.0
2015,Hiawatha First Nation,Total (all genders),18 to 24 years,0.0
2015,Hiawatha First Nation,Total (all genders),25 to 54 years,0.0
2015,Hiawatha First Nation,Total (all genders),55 to 64 years,0.0
2015,Hiawatha First Nation,Total (all genders),65 years and over,0.0
2020,Hiawatha First Nation,Total (all genders),Total (all ages),0.0
2020,Hiawatha First Nation,Total (all genders),0 to 17 years,0.0
2020,Hiawatha First Nation,Total (all genders),18 to 24 years,0.0
2020,Hiawatha First Nation,Total (all genders),25 to 54 years,0.0
2020,Hiawatha First Nation,Total (all genders),55 to 64 years,0.0
2020,Hiawatha First Nation,Total (all genders),65 years and over,0.0
2015,Hiawatha First Nation,Total (all genders),Total (all ages),0.0
2015,Hiawatha First Nation,Total (all genders),0 to 17 years,0.0
2015,Hiawatha First Nation,Total (all genders),18 to 24 years,0.0
2015,Hiawatha First Nation,Total (all genders),25 to 54 years,0.0
2015,Hiawatha First Nation,Total (all genders),55 to 64 years,0.0
2015,Hiawatha First Nation,Total (all genders),65 years and over,0.0
2020,Hiawatha First Nation,Men+,Total (all ages),0.0
2020,Hiawatha First Nation,Men+,0 to 17 years,0.0
2020,Hiawatha First Nation,Men+,18 to 24 years,0.0
2020,Hiawatha First Nation,Men+,25 to 54 years,0.0
2020,Hiawatha First Nation,Men+,55 to 64 years,0.0
2020,Hiawatha First Nation,Men+,65 years and over,0.0
2015,Hiawatha First Nation,Men+,Total (all ages),0.0
2015,Hiawatha First Nation,Men+,0 to 17 years,0.0
2015,Hiawatha First Nation,Men+,18 to 24 years,0.0
2015,Hiawatha First Nation,Men+,25 to 54 years,0.0
2015,Hiawatha First Nation,Men+,55 to 64 years,0.0
2015,Hiawatha First Nation,Men+,65 years and over,0.0
2020,Hiawatha First Nation,Men+,Total (all ages),0.0
2020,Hiawatha First Nation,Men+,0 to 17 years,0.0
2020,Hiawatha First Nation,Men+,18 to 24 years,0.0
2020,Hiawatha First Nation,Men+,25 to 54 years,0.0
2020,Hiawatha First Nation,Men+,55 to 64 years,0.0
2020,Hiawatha First Nation,Men+,65 years and over,0.0
2015,Hiawatha First Nation,Men+,Total (all ages),0.0
2015,Hiawatha First Nation,Men+,0 to 17 years,0.0
2015,Hiawatha First Nation,Men+,18 to 24 years,0.0
2015,Hiawatha First Nation,Men+,25 to 54 years,0.0
2015,Hiawatha First Nation,Men+,55 to 64 years,0.0
2015,Hiawatha First Nation,Men+,65 years and over,0.0
2020,Hiawatha First Nation,Women+,Total (all ages),0.0
2020,Hiawatha First Nation,Women+,0 to 17 years,0.0
2020,Hiawatha First Nation,Women+,18 to 24 years,0.0
2020,Hiawatha First Nation,Women+,25 to 54 years,0.0
2020,Hiawatha First Nation,Women+,55 to 64 years,0.0
2020,Hiawatha First Nation,Women+,65 years and over,0.0
2015,Hiawatha First Nation,Women+,Total (all ages),0.0
2015,Hiawatha First Nation,Women+,0 to 17 years,0.0
2015,Hiawatha First Nation,Women+,18 to 24 years,0.0
2015,Hiawatha First Nation,Women+,25 to 54 years,0.0
2015,Hiawatha First Nation,Women+,55 to 64 years,0.0
2015,Hiawatha First Nation,Women+,65 years and over,0.0
2020,Hiawatha First Nation,Women+,Total (all ages),0.0
2020,Hiawatha First Nation,Women+,0 to 17 years,0.0
2020,Hiawatha First Nation,Women+,18 to 24 years,0.0
2020,Hiawatha First Nation,Women+,25 to 54 years,0.0
2020,Hiawatha First Nation,Women+,55 to 64 years,0.0
2020,Hiawatha First Nation,Women+,65 years and over,0.0
2015,Hiawatha First Nation,Women+,Total (all ages),0.0
2015,Hiawatha First Nation,Women+,0 to 17 years,0.0
2015,Hiawatha First Nation,Women+,18 to 24 years,0.0
2015,Hiawatha First Nation,Women+,25 to 54 years,0.0
2015,Hiawatha First Nation,Women+,55 to 64 years,0.0
2015,Hiawatha First Nation,Women+,65 years and over,0.0
2020,Cavan Monaghan,Total (all genders),Total (all ages),3.5
2020,Cavan Monaghan,Total (all genders),0 to 17 years,3.3
2020,Cavan Monaghan,Total (all genders),18 to 24 years,4.4
2020,Cavan Monaghan,Total (all genders),25 to 54 years,2.9
2020,Cavan Monaghan,Total (all genders),55 to 64 years,7.5
2020,Cavan Monaghan,Total (all genders),65 years and over,1.3
2015,Cavan Monaghan,Total (all genders),Total (all ages),7.7
2015,Cavan Monaghan,Total (all genders),0 to 17 years,11.8
2015,Cavan Monaghan,Total (all genders),18 to 24 years,7.0
2015,Cavan Monaghan,Total (all genders),25 to 54 years,6.3
2015,Cavan Monaghan,Total (all genders),55 to 64 years,9.4
2015,Cavan Monaghan,Total (all genders),65 years and over,4.3
2020,Cavan Monaghan,Total (all genders),Total (all ages),15.8
2020,Cavan Monaghan,Total (all genders),0 to 17 years,0.0
2020,Cavan Monaghan,Total (all genders),18 to 24 years,80.0
2020,Cavan Monaghan,Total (all genders),25 to 54 years,14.6
2020,Cavan Monaghan,Total (all genders),55 to 64 years,27.8
2020,Cavan Monaghan,Total (all genders),65 years and over,5.5
2015,Cavan Monaghan,Total (all genders),Total (all ages),22.5
2015,Cavan Monaghan,Total (all genders),0 to 17 years,0.0
2015,Cavan Monaghan,Total (all genders),18 to 24 years,0.0
2015,Cavan Monaghan,Total (all genders),25 to 54 years,27.7
2015,Cavan Monaghan,Total (all genders),55 to 64 years,22.9
2015,Cavan Monaghan,Total (all genders),65 years and over,14.9
2020,Cavan Monaghan,Men+,Total (all ages),3.4
2020,Cavan Monaghan,Men+,0 to 17 years,2.6
2020,Cavan Monaghan,Men+,18 to 24 years,0.0
2020,Cavan Monaghan,Men+,25 to 54 years,2.0
2020,Cavan Monaghan,Men+,55 to 64 years,8.5
2020,Cavan Monaghan,Men+,65 years and over,0.0
2015,Cavan Monaghan,Men+,Total (all ages),7.4
2015,Cavan Monaghan,Men+,0 to 17 years,11.3
2015,Cavan Monaghan,Men+,18 to 24 years,6.7
2015,Cavan Monaghan,Men+,25 to 54 years,5.5
2015,Cavan Monaghan,Men+,55 to 64 years,11.3
2015,Cavan Monaghan,Men+,65 years and over,3.9
2020,Cavan Monaghan,Men+,Total (all ages),19.2
2020,Cavan Monaghan,Men+,0 to 17 years,0.0
2020,Cavan Monaghan,Men+,18 to 24 years,0.0
2020,Cavan Monaghan,Men+,25 to 54 years,14.8
2020,Cavan Monaghan,Men+,55 to 64 years,27.3
2020,Cavan Monaghan,Men+,65 years and over,0.0
2015,Cavan Monaghan,Men+,Total (all ages),23.1
2015,Cavan Monaghan,Men+,0 to 17 years,0.0
2015,Cavan Monaghan,Men+,18 to 24 years,0.0
2015,Cavan Monaghan,Men+,25 to 54 years,27.3
2015,Cavan Monaghan,Men+,55 to 64 years,35.0
2015,Cavan Monaghan,Men+,65 years and over,0.0
2020,Cavan Monaghan,Women+,Total (all ages),3.7
2020,Cavan Monaghan,Women+,0 to 17 years,3.0
2020,Cavan Monaghan,Women+,18 to 24 years,0.0
2020,Cavan Monaghan,Women+,25 to 54 years,3.7
2020,Cavan Monaghan,Women+,55 to 64 years,7.1
2020,Cavan Monaghan,Women+,65 years and over,0.0
2015,Cavan Monaghan,Women+,Total (all ages),8.0
2015,Cavan Monaghan,Women+,0 to 17 years,12.4
2015,Cavan Monaghan,Women+,18 to 24 years,5.9
2015,Cavan Monaghan,Women+,25 to 54 years,6.8
2015,Cavan Monaghan,Women+,55 to 64 years,8.0
2015,Cavan Monaghan,Women+,65 years and over,5.3
2020,Cavan Monaghan,Women+,Total (all ages),13.9
2020,Cavan Monaghan,Women+,0 to 17 years,0.0
2020,Cavan Monaghan,Women+,18 to 24 years,0.0
2020,Cavan Monaghan,Women+,25 to 54 years,0.0
2020,Cavan Monaghan,Women+,55 to 64 years,26.7
2020,Cavan Monaghan,Women+,65 years and over,0.0
2015,Cavan Monaghan,Women+,Total (all ages),21.9
2015,Cavan Monaghan,Women+,0 to 17 years,0.0
2015,Cavan Monaghan,Women+,18 to 24 years,0.0
2015,Cavan Monaghan,Women+,25 to 54 years,28.6
2015,Cavan Monaghan,Women+,55 to 64 years,0.0
2015,Cavan Monaghan,Women+,65 years and over,16.7
2020,Peterborough (City),Total (all genders),Total (all ages),9.8
2020,Peterborough (City),Total (all genders),0 to 17 years,8.2
2020,Peterborough (City),Total (all genders),18 to 24 years,25.3
2020,Peterborough (City),Total (all genders),25 to 54 years,9.4
2020,Peterborough (City),Total (all genders),55 to 64 years,12.7
2020,Peterborough (City),Total (all genders),65 years and over,3.5
2015,Peterborough (City),Total (all genders),Total (all ages),18.3
2015,Peterborough (City),Total (all genders),0 to 17 years,21.6
2015,Peterborough (City),Total (all genders),18 to 24 years,37.2
2015,Peterborough (City),Total (all genders),25 to 54 years,18.8
2015,Peterborough (City),Total (all genders),55 to 64 years,15.9
2015,Peterborough (City),Total (all genders),65 years and over,6.6
2020,Peterborough (City),Total (all genders),Total (all ages),26.1
2020,Peterborough (City),Total (all genders),0 to 17 years,100.0
2020,Peterborough (City),Total (all genders),18 to 24 years,61.0
2020,Peterborough (City),Total (all genders),25 to 54 years,25.4
2020,Peterborough (City),Total (all genders),55 to 64 years,34.2
2020,Peterborough (City),Total (all genders),65 years and over,8.2
2015,Peterborough (City),Total (all genders),Total (all ages),38.9
2015,Peterborough (City),Total (all genders),0 to 17 years,100.0
2015,Peterborough (City),Total (all genders),18 to 24 years,84.2
2015,Peterborough (City),Total (all genders),25 to 54 years,40.5
2015,Peterborough (City),Total (all genders),55 to 64 years,39.9
2015,Peterborough (City),Total (all genders),65 years and over,15.2
2020,Peterborough (City),Men+,Total (all ages),10.1
2020,Peterborough (City),Men+,0 to 17 years,7.8
2020,Peterborough (City),Men+,18 to 24 years,23.4
2020,Peterborough (City),Men+,25 to 54 years,10.5
2020,Peterborough (City),Men+,55 to 64 years,13.6
2020,Peterborough (City),Men+,65 years and over,3.2
2015,Peterborough (City),Men+,Total (all ages),18.2
2015,Peterborough (City),Men+,0 to 17 years,20.8
2015,Peterborough (City),Men+,18 to 24 years,36.0
2015,Peterborough (City),Men+,25 to 54 years,18.7
2015,Peterborough (City),Men+,55 to 64 years,16.4
2015,Peterborough (City),Men+,65 years and over,5.8
2020,Peterborough (City),Men+,Total (all ages),30.2
2020,Peterborough (City),Men+,0 to 17 years,0.0
2020,Peterborough (City),Men+,18 to 24 years,60.0
2020,Peterborough (City),Men+,25 to 54 years,28.2
2020,Peterborough (City),Men+,55 to 64 years,38.7
2020,Peterborough (City),Men+,65 years and over,10.2
2015,Peterborough (City),Men+,Total (all ages),44.0
2015,Peterborough (City),Men+,0 to 17 years,100.0
2015,Peterborough (City),Men+,18 to 24 years,83.1
2015,Peterborough (City),Men+,25 to 54 years,41.5
2015,Peterborough (City),Men+,55 to 64 years,43.1
2015,Peterborough (City),Men+,65 years and over,18.7
2020,Peterborough (City),Women+,Total (all ages),9.5
2020,Peterborough (City),Women+,0 to 17 years,8.5
2020,Peterborough (City),Women+,18 to 24 years,27.2
2020,Peterborough (City),Women+,25 to 54 years,8.4
2020,Peterborough (City),Women+,55 to 64 years,12.0
2020,Peterborough (City),Women+,65 years and over,3.8
2015,Peterborough (City),Women+,Total (all ages),18.3
2015,Peterborough (City),Women+,0 to 17 years,22.4
2015,Peterborough (City),Women+,18 to 24 years,38.2
2015,Peterborough (City),Women+,25 to 54 years,18.9
2015,Peterborough (City),Women+,55 to 64 years,15.4
