Year,GEO,DGUID,Gender (3a),Economic family characteristics of persons (13),Statistics (6C),Age (8),Individual MBM poverty status (7),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,STATUS,SYMBOL,TERMINATED,DECIMALS,Value
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.4.7,,,,1,32.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.5.1,,,,0,1209345.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Poverty status - not applicable,,0,units,0,,2265.1.1.1.5.2,,,,0,5345.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Poverty status - applicable,,0,units,0,,2265.1.1.1.5.3,,,,0,1204000.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,In poverty,,0,units,0,,2265.1.1.1.5.4,,,,0,165230.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Not in poverty,,0,units,0,,2265.1.1.1.5.5,,,,0,1038770.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Poverty rate (%),,0,units,0,,2265.1.1.1.5.6,,,,1,13.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.5.7,,,,1,48.2
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.6.1,,,,0,5595190.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Poverty status - not applicable,,0,units,0,,2265.1.1.1.6.2,,,,0,19600.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Poverty status - applicable,,0,units,0,,2265.1.1.1.6.3,,,,0,5575585.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,In poverty,,0,units,0,,2265.1.1.1.6.4,,,,0,461700.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Not in poverty,,0,units,0,,2265.1.1.1.6.5,,,,0,5113885.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Poverty rate (%),,0,units,0,,2265.1.1.1.6.6,,,,1,8.3
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.6.7,,,,1,37.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.7.1,,,,0,1989455.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,Poverty status - not applicable,,0,units,0,,2265.1.1.1.7.2,,,,0,6490.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,Poverty status - applicable,,0,units,0,,2265.1.1.1.7.3,,,,0,1982970.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,In poverty,,0,units,0,,2265.1.1.1.7.4,,,,0,176085.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,Not in poverty,,0,units,0,,2265.1.1.1.7.5,,,,0,1806880.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,Poverty rate (%),,0,units,0,,2265.1.1.1.7.6,,,,1,8.9
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,55 to 64 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.7.7,,,,1,35.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.1.8.1,,,,0,2510275.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,Poverty status - not applicable,,0,units,0,,2265.1.1.1.8.2,,,,0,6045.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,Poverty status - applicable,,0,units,0,,2265.1.1.1.8.3,,,,0,2504230.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,In poverty,,0,units,0,,2265.1.1.1.8.4,,,,0,119905.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,Not in poverty,,0,units,0,,2265.1.1.1.8.5,,,,0,2384325.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,Poverty rate (%),,0,units,0,,2265.1.1.1.8.6,,,,1,4.8
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2020,65 years and over,Average poverty gap ratio (%),,0,units,0,,2265.1.1.1.8.7,,,,1,25.8
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.1.1,,,,0,13242160.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,Poverty status - not applicable,,0,units,0,,2265.1.1.4.1.2,,,,0,58100.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,Poverty status - applicable,,0,units,0,,2265.1.1.4.1.3,,,,0,13184060.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,In poverty,,0,units,0,,2265.1.1.4.1.4,,,,0,2049135.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,Not in poverty,,0,units,0,,2265.1.1.4.1.5,,,,0,11134925.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,Poverty rate (%),,0,units,0,,2265.1.1.4.1.6,,,,1,15.5
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,Total - Age,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.1.7,,,,1,34.9
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.2.1,,,,0,2676275.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,Poverty status - not applicable,,0,units,0,,2265.1.1.4.2.2,,,,0,18980.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,Poverty status - applicable,,0,units,0,,2265.1.1.4.2.3,,,,0,2657300.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,In poverty,,0,units,0,,2265.1.1.4.2.4,,,,0,530240.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,Not in poverty,,0,units,0,,2265.1.1.4.2.5,,,,0,2127055.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,Poverty rate (%),,0,units,0,,2265.1.1.4.2.6,,,,1,20.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 17 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.2.7,,,,1,31.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.3.1,,,,0,840495.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,Poverty status - not applicable,,0,units,0,,2265.1.1.4.3.2,,,,0,6595.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,Poverty status - applicable,,0,units,0,,2265.1.1.4.3.3,,,,0,833900.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,In poverty,,0,units,0,,2265.1.1.4.3.4,,,,0,182030.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,Not in poverty,,0,units,0,,2265.1.1.4.3.5,,,,0,651870.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,Poverty rate (%),,0,units,0,,2265.1.1.4.3.6,,,,1,21.8
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,0 to 5 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.3.7,,,,1,31.2
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.4.1,,,,0,1835775.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,Poverty status - not applicable,,0,units,0,,2265.1.1.4.4.2,,,,0,12385.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,Poverty status - applicable,,0,units,0,,2265.1.1.4.4.3,,,,0,1823395.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,In poverty,,0,units,0,,2265.1.1.4.4.4,,,,0,348210.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,Not in poverty,,0,units,0,,2265.1.1.4.4.5,,,,0,1475185.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,Poverty rate (%),,0,units,0,,2265.1.1.4.4.6,,,,1,19.1
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,6 to 17 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.4.7,,,,1,31.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.5.1,,,,0,1223250.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,Poverty status - not applicable,,0,units,0,,2265.1.1.4.5.2,,,,0,6500.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,Poverty status - applicable,,0,units,0,,2265.1.1.4.5.3,,,,0,1216745.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,In poverty,,0,units,0,,2265.1.1.4.5.4,,,,0,263500.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,Not in poverty,,0,units,0,,2265.1.1.4.5.5,,,,0,953240.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,Poverty rate (%),,0,units,0,,2265.1.1.4.5.6,,,,1,21.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,18 to 24 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.5.7,,,,1,45.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.6.1,,,,0,5410555.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,Poverty status - not applicable,,0,units,0,,2265.1.1.4.6.2,,,,0,21520.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,Poverty status - applicable,,0,units,0,,2265.1.1.4.6.3,,,,0,5389035.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,In poverty,,0,units,0,,2265.1.1.4.6.4,,,,0,844150.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,Not in poverty,,0,units,0,,2265.1.1.4.6.5,,,,0,4544885.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,Poverty rate (%),,0,units,0,,2265.1.1.4.6.6,,,,1,15.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,25 to 54 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.6.7,,,,1,35.9
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.7.1,,,,0,1818565.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,Poverty status - not applicable,,0,units,0,,2265.1.1.4.7.2,,,,0,6145.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,Poverty status - applicable,,0,units,0,,2265.1.1.4.7.3,,,,0,1812420.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,In poverty,,0,units,0,,2265.1.1.4.7.4,,,,0,248115.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,Not in poverty,,0,units,0,,2265.1.1.4.7.5,,,,0,1564305.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,Poverty rate (%),,0,units,0,,2265.1.1.4.7.6,,,,1,13.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,55 to 64 years,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.7.7,,,,1,36.1
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,Total - Individual MBM poverty status,,0,units,0,,2265.1.1.4.8.1,,,,0,2113520.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,Poverty status - not applicable,,0,units,0,,2265.1.1.4.8.2,,,,0,4955.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,Poverty status - applicable,,0,units,0,,2265.1.1.4.8.3,,,,0,2108565.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,In poverty,,0,units,0,,2265.1.1.4.8.4,,,,0,163125.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,Not in poverty,,0,units,0,,2265.1.1.4.8.5,,,,0,1945440.0
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,Poverty rate (%),,0,units,0,,2265.1.1.4.8.6,,,,1,7.7
2021,Ontario,2021A000235,Total - Gender,Total - Persons by selected economic family characteristics,2015,65 years and over,Average poverty gap ratio (%),,0,units,0,,2265.1.1.4.8.7,,,,1,23.3
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,Total - Individual MBM poverty status,,0,units,0,,2265.2.1.1.1.1,,,,0,6887570.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,Poverty status - not applicable,,0,units,0,,2265.2.1.1.1.2,,,,0,27420.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,Poverty status - applicable,,0,units,0,,2265.2.1.1.1.3,,,,0,6860150.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,In poverty,,0,units,0,,2265.2.1.1.1.4,,,,0,583165.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,Not in poverty,,0,units,0,,2265.2.1.1.1.5,,,,0,6276990.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,Poverty rate (%),,0,units,0,,2265.2.1.1.1.6,,,,1,8.5
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,Total - Age,Average poverty gap ratio (%),,0,units,0,,2265.2.1.1.1.7,,,,1,37.6
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Total - Individual MBM poverty status,,0,units,0,,2265.2.1.1.2.1,,,,0,1401590.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Poverty status - not applicable,,0,units,0,,2265.2.1.1.2.2,,,,0,8865.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Poverty status - applicable,,0,units,0,,2265.2.1.1.2.3,,,,0,1392730.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,In poverty,,0,units,0,,2265.2.1.1.2.4,,,,0,120900.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Not in poverty,,0,units,0,,2265.2.1.1.2.5,,,,0,1271835.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Poverty rate (%),,0,units,0,,2265.2.1.1.2.6,,,,1,8.7
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 17 years,Average poverty gap ratio (%),,0,units,0,,2265.2.1.1.2.7,,,,1,32.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Total - Individual MBM poverty status,,0,units,0,,2265.2.1.1.3.1,,,,0,425965.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Poverty status - not applicable,,0,units,0,,2265.2.1.1.3.2,,,,0,2735.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Poverty status - applicable,,0,units,0,,2265.2.1.1.3.3,,,,0,423230.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,In poverty,,0,units,0,,2265.2.1.1.3.4,,,,0,39795.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Not in poverty,,0,units,0,,2265.2.1.1.3.5,,,,0,383430.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Poverty rate (%),,0,units,0,,2265.2.1.1.3.6,,,,1,9.4
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,0 to 5 years,Average poverty gap ratio (%),,0,units,0,,2265.2.1.1.3.7,,,,1,29.8
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Total - Individual MBM poverty status,,0,units,0,,2265.2.1.1.4.1,,,,0,975625.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Poverty status - not applicable,,0,units,0,,2265.2.1.1.4.2,,,,0,6125.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Poverty status - applicable,,0,units,0,,2265.2.1.1.4.3,,,,0,969505.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,In poverty,,0,units,0,,2265.2.1.1.4.4,,,,0,81100.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Not in poverty,,0,units,0,,2265.2.1.1.4.5,,,,0,888400.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Poverty rate (%),,0,units,0,,2265.2.1.1.4.6,,,,1,8.4
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,6 to 17 years,Average poverty gap ratio (%),,0,units,0,,2265.2.1.1.4.7,,,,1,33.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Total - Individual MBM poverty status,,0,units,0,,2265.2.1.1.5.1,,,,0,626890.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Poverty status - not applicable,,0,units,0,,2265.2.1.1.5.2,,,,0,2825.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Poverty status - applicable,,0,units,0,,2265.2.1.1.5.3,,,,0,624065.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,In poverty,,0,units,0,,2265.2.1.1.5.4,,,,0,87495.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Not in poverty,,0,units,0,,2265.2.1.1.5.5,,,,0,536570.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Poverty rate (%),,0,units,0,,2265.2.1.1.5.6,,,,1,14.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,18 to 24 years,Average poverty gap ratio (%),,0,units,0,,2265.2.1.1.5.7,,,,1,49.8
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Total - Individual MBM poverty status,,0,units,0,,2265.2.1.1.6.1,,,,0,2735410.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Poverty status - not applicable,,0,units,0,,2265.2.1.1.6.2,,,,0,9770.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Poverty status - applicable,,0,units,0,,2265.2.1.1.6.3,,,,0,2725645.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,In poverty,,0,units,0,,2265.2.1.1.6.4,,,,0,232620.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Not in poverty,,0,units,0,,2265.2.1.1.6.5,,,,0,2493025.0
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Poverty rate (%),,0,units,0,,2265.2.1.1.6.6,,,,1,8.5
2021,Ontario,2021A000235,Men+,Total - Persons by selected economic family characteristics,2020,25 to 54 years,Average poverty gap ratio (%),,0,units,0,,2265.2.1.1.6.7,,,,1,38.9
